id	gold standard passage	top_1	top_3	top_5
187	[16855829]	17374970	17374970;12789595;84580585	17374970;12789595;84580585;2867345;24159217
189	[4421578]	5560962	5560962;3566945;4421578	5560962;3566945;4421578;4373433;23915841
196	[19313533]	19313533	19313533;9899292;26025820	19313533;9899292;26025820;3419709;3973445
197	[2177022]	2177022	2177022;40590358;13778710	2177022;40590358;13778710;25942757;6123924
199	[2177022]	2177022	2177022;13778710;40590358	2177022;13778710;40590358;23634484;8494570
200	[18231807]	18231807	18231807;35651106;13868795	18231807;35651106;13868795;28006126;40473317
201	[2462673]	35651106	35651106;2462673;28006126	35651106;2462673;28006126;13868795;8038329
203	[9558539]	9558539	9558539;25513319;15946643	9558539;25513319;15946643;7583725;9600826
204	[7898952]	7898952	7898952;470625;4412772	7898952;470625;4412772;25479072;4414547
205	[7898952, 470625]	470625	470625;7898952;4412772	470625;7898952;4412772;4414547;29125354
209	[32587939]	25510546	25510546;13780287;4399311	25510546;13780287;4399311;35760786;20904154
210	[13794374]	13794374	13794374;8458567;21547032	13794374;8458567;21547032;6903077;14019636
211	[13794374]	6903077	6903077;25606339;2758012	6903077;25606339;2758012;6290112;44737533
214	[13625993]	27054878	27054878;9846940;40156901	27054878;9846940;40156901;20887554;750781
220	[19205437]	19205437	19205437;14865329;1590744	19205437;14865329;1590744;15535511;17231273
221	[19205437]	19205437	19205437;29362104;37964706	19205437;29362104;37964706;5094468;7869794
222	[19205437]	19205437	19205437;29362104;37964706	19205437;29362104;37964706;5094468;7869794
223	[2014909]	42465769	42465769;2014909;5483793	42465769;2014909;5483793;24612804;28149602
224	[6944800]	32742683	32742683;10812605;8702697	32742683;10812605;8702697;35993767;9648896
225	[6944800]	3727986	3727986;32742683;9648896	3727986;32742683;9648896;10812605;35993767
226	[6944800]	3727986	3727986;32742683;9648896	3727986;32742683;9648896;10812605;35993767
227	[26973393]	26973393	26973393;22980205;22401720	26973393;22980205;22401720;34066665;9929089
228	[4928057]	4928057	4928057;12827098;7521113	4928057;12827098;7521113;4460880;3984231
229	[56893404]	56893404	56893404;9394119;8892905	56893404;9394119;8892905;1387104;3285322
235	[4388470]	4388470	4388470;5597586;36708463	4388470;5597586;36708463;9047718;7011850
241	[2212067, 10608822]	11557602	11557602;4320111;19979816	11557602;4320111;19979816;14471161;8816869
242	[2212067, 10608822]	11557602	11557602;4320111;19979816	11557602;4320111;19979816;14471161;8816869
243	[8148122]	8148122	8148122;24766509;14225271	8148122;24766509;14225271;3174305;42106119
244	[21498497]	21498497	21498497;14644164;8596357	21498497;14644164;8596357;46135768;5798227
245	[8447873, 3430789]	3430789	3430789;25104843;22547508	3430789;25104843;22547508;19132741;33203108
246	[8447873, 3430789]	3430789	3430789;25104843;22547508	3430789;25104843;22547508;19132741;33203108
247	[13578199]	10474873	10474873;10669582;13578199	10474873;10669582;13578199;26008462;44420873
250	[1568684]	1568684	1568684;4319174;52865789	1568684;4319174;52865789;29381091;29691654
251	[1568684]	1568684	1568684;4319174;29691654	1568684;4319174;29691654;29381091;14865329
253	[37424881]	42441846	42441846;8595678;37424881	42441846;8595678;37424881;12810152;10557471
254	[37424881]	42441846	42441846;8595678;37424881	42441846;8595678;37424881;12810152;10557471
255	[5850219]	5850219	5850219;3413083;829646	5850219;3413083;829646;8298120;75636923
256	[5850219]	5850219	5850219;829646;3413083	5850219;829646;3413083;33257464;8298120
258	[22080671]	6397191	6397191;29509926;2260571	6397191;29509926;2260571;8446259;6144969
259	[8883846]	20261352	20261352;14657344;14806256	20261352;14657344;14806256;14644164;44562058
262	[14610165]	18924534	18924534;14050257;5519177	18924534;14050257;5519177;1667063;16806763
263	[11328820, 30041340, 14853989]	11328820	11328820;30041340;17967608	11328820;30041340;17967608;3330111;14853989
264	[11328820]	11328820	11328820;14853989;30041340	11328820;14853989;30041340;17741440;17967608
265	[2033917]	2033917	2033917;38127792;14205246	2033917;38127792;14205246;600808;1684489
266	[22405338]	22405338	22405338;7878807;18374364	22405338;7878807;18374364;12232678;10165258
267	[5912283, 31554917]	5912283	5912283;24346598;7627167	5912283;24346598;7627167;31554917;4587978
272	[11614737]	11614737	11614737;5114940;24019260	11614737;5114940;24019260;5551138;1759213
277	[14376683]	14376683	14376683;37677954;83667891	14376683;37677954;83667891;29107180;21230110
278	[14376683]	14376683	14376683;83667891;37677954	14376683;83667891;37677954;46193478;87986426
280	[25001628]	25001628	25001628;2931832;14075252	25001628;2931832;14075252;5238341;21164071
281	[4632921]	3514072	3514072;6401675;4632921	3514072;6401675;4632921;2151983;5116145
283	[1974176]	1974176	1974176;9822397;10071552	1974176;9822397;10071552;32534305;6207111
285	[5548081]	5548081	5548081;21216726;21859699	5548081;21216726;21859699;9539248;708425
286	[4709641]	4709641	4709641;15347087;47018050	4709641;15347087;47018050;4405194;5953485
287	[4709641]	4709641	4709641;15347087;4405194	4709641;15347087;4405194;5953485;13717103
290	[15048300]	15048300	15048300;95102458;13625993	15048300;95102458;13625993;23206239;3610080
292	[15048300]	15048300	15048300;13843341;16705338	15048300;13843341;16705338;13625993;21203899
293	[10874408]	21170174	21170174;32638085;9704467	21170174;32638085;9704467;16237005;42267740
296	[4398832]	4398832	4398832;45875990;600808	4398832;45875990;600808;17805221;23356816
299	[39381118]	39381118	39381118;23403754;9588931	39381118;23403754;9588931;10698739;15836115
301	[3553087]	8496132	8496132;6828370;24221369	8496132;6828370;24221369;40721190;30297355
304	[14797520]	14797520	14797520;34559336;13072112	14797520;34559336;13072112;32275758;29788648
305	[14797520]	14797520	14797520;1354567;34559336	14797520;1354567;34559336;13072112;32275758
306	[7821634]	7821634	7821634;15248287;23403754	7821634;15248287;23403754;20738970;40901687
308	[7821634]	7821634	7821634;24190159;29073751	7821634;24190159;29073751;6121555;2272614
309	[7821634]	7821634	7821634;23403754;37444589	7821634;23403754;37444589;41646286;238409
310	[6173523]	14185503	14185503;14464451;13123189	14185503;14464451;13123189;32770503;15960670
313	[6173523]	14185503	14185503;14464451;13123189	14185503;14464451;13123189;32770503;17447653
315	[3701541]	26735905	26735905;25576204;10463997	26735905;25576204;10463997;31882215;10024681
316	[712078]	20732789	20732789;9159125;2443495	20732789;9159125;2443495;6923961;24828165
317	[4506414]	4506414	4506414;30058568;12549585	4506414;30058568;12549585;4890578;30639847
323	[2014909]	22174015	22174015;4658268;2014909	22174015;4658268;2014909;24612804;19510470
325	[40349336]	12909503	12909503;43192375;40349336	12909503;43192375;40349336;3113630;24917562
326	[40349336]	12909503	12909503;43192375;3113630	12909503;43192375;3113630;40349336;30353437
330	[9505448]	9505448	9505448;9669099;13794374	9505448;9669099;13794374;40145839;23423230
331	[9505448]	9505448	9505448;13794374;14461101	9505448;13794374;14461101;9669099;7878807
332	[29023309]	29023309	29023309;8300657;798152	29023309;8300657;798152;20357868;44737533
333	[29023309]	29023309	29023309;8300657;798152	29023309;8300657;798152;20357868;44737533
334	[25079962]	25079962	25079962;24338780;23122306	25079962;24338780;23122306;20381484;21297708
335	[1780819]	1780819	1780819;4767806;6121668	1780819;4767806;6121668;9634465;25263942
336	[2097256]	18816720	18816720;8665891;17454301	18816720;8665891;17454301;2097256;25738896
337	[2097256]	18816720	18816720;8665891;17454301	18816720;8665891;17454301;2097256;42387637
339	[23349986]	23349986	23349986;36288526;24211561	23349986;36288526;24211561;15948830;14973286
340	[7098463]	7098463	7098463;5824985;16390264	7098463;5824985;16390264;5262240;154243324
341	[7098463]	7098463	7098463;5824985;5262240	7098463;5824985;5262240;154243324;3190689
342	[7873737, 5884524]	19308127	19308127;5884524;23783727	19308127;5884524;23783727;38630735;7873737
345	[4394817]	9641846	9641846;30580263;5254463	9641846;30580263;5254463;1507222;18956141
346	[11902109]	11902109	11902109;30714190;26873988	11902109;30714190;26873988;6673421;27588420
347	[11902109]	11902109	11902109;26873988;27588420	11902109;26873988;27588420;30714190;18450716
349	[13497630]	13497630	13497630;11109043;34198460	13497630;11109043;34198460;4423220;17088791
351	[14658685]	21622715	21622715;39048693;25263810	21622715;39048693;25263810;2452989;43602749
352	[14658685]	16167746	16167746;18855191;39048693	16167746;18855191;39048693;22561064;13277118
355	[12800122, 38380061]	9646449	9646449;15816729;13936152	9646449;15816729;13936152;38380061;12800122
356	[6144337]	2506153	2506153;6144337;52095986	2506153;6144337;52095986;37256966;19099739
357	[18111172]	20821402	20821402;12207340;12552297	20821402;12207340;12552297;15472716;18111172
358	[18111172]	20821402	20821402;12207340;12552297	20821402;12207340;12552297;15472716;18111172
361	[38587347]	38587347	38587347;15488881;34615397	38587347;15488881;34615397;15058155;9831859
363	[5386514]	20646904	20646904;37444589;2389574	20646904;37444589;2389574;20610557;27567994
364	[1550937]	2601324	2601324;17814815;1550937	2601324;17814815;1550937;34854444;19238
365	[600437]	600437	600437;26019505;6202834	600437;26019505;6202834;11250124;418246
366	[13956305]	13956305	13956305;1265945;97884	13956305;1265945;97884;34481589;8428837
367	[27099731]	27099731	27099731;25612629;14831629	27099731;25612629;14831629;25691541;9967265
368	[27099731]	27099731	27099731;25612629;14831629	27099731;25612629;14831629;25691541;9967265
369	[6826100]	6826100	6826100;3882374;30507607	6826100;3882374;30507607;1630949;8290760
370	[1550937]	1550937	1550937;7399084;9787715	1550937;7399084;9787715;857189;22545779
371	[1550937]	1550937	1550937;7399084;9787715	1550937;7399084;9787715;857189;22545779
372	[24922825]	24922825	24922825;8883846;3566945	24922825;8883846;3566945;1071991;7177329
375	[1522647]	1522647	1522647;20459964;21048969	1522647;20459964;21048969;28249680;11481946
376	[22401061]	5710820	5710820;17433284;27580223	5710820;17433284;27580223;14337960;3929361
377	[18810195]	18810195	18810195;12225214;36855703	18810195;12225214;36855703;6788835;14180565
378	[45154987, 10534299, 11886686, 25007443, 17150648]	17150648	17150648;14782049;2225918	17150648;14782049;2225918;2481032;4700428
379	[19005293]	19005293	19005293;21651116;17223891	19005293;21651116;17223891;11328820;26068103
381	[18340282]	18340282	18340282;27123743;15512462	18340282;27123743;15512462;16098747;4886637
382	[11659421]	17412260	17412260;41710132;24652030	17412260;41710132;24652030;13814480;15521377
383	[13770184]	51972698	51972698;40666943;8582337	51972698;40666943;8582337;32357890;18074797
389	[1148122]	21602220	21602220;24019260;1148122	21602220;24019260;1148122;28025754;22908536
390	[1148122]	21602220	21602220;24019260;1148122	21602220;24019260;1148122;28025754;22908536
391	[1148122]	21602220	21602220;24019260;1148122	21602220;24019260;1148122;28025754;22908536
392	[1148122]	21602220	21602220;24019260;1148122	21602220;24019260;1148122;28025754;22908536
393	[1148122]	21602220	21602220;24019260;1148122	21602220;24019260;1148122;28025754;22153455
394	[11360768]	11360768	11360768;70455704;8842332	11360768;70455704;8842332;2425364;35714909
396	[1456068]	1456068	1456068;10209731;24918110	1456068;10209731;24918110;27240667;12438901
397	[1456068]	1456068	1456068;10209731;24918110	1456068;10209731;24918110;12438901;27240667
398	[8883846]	20261352	20261352;40473317;20646904	20261352;40473317;20646904;14657344;5752492
400	[791050]	791050	791050;471921;42387637	791050;471921;42387637;21003930;13770184
401	[5633876]	5633876	5633876;57783564;13242763	5633876;57783564;13242763;28071965;14492964
403	[1921218]	21150010	21150010;18938992;27437459	21150010;18938992;27437459;26108767;6421792
404	[1921218]	5132358	5132358;21150010;18938992	5132358;21150010;18938992;27437459;9278263
406	[6796297]	38899659	38899659;3118719;32170702	38899659;3118719;32170702;23804187;24356383
407	[9889151]	9451052	9451052;8411251;20781656	9451052;8411251;20781656;29877890;9889151
413	[6309659]	12443371	12443371;4709641;18852643	12443371;4709641;18852643;6947286;27076725
414	[6309659]	4709641	4709641;12443371;20937018	4709641;12443371;20937018;6947286;24530130
416	[6309659]	6309659	6309659;12443371;4709641	6309659;12443371;4709641;15669393;34228604
417	[6309659]	12443371	12443371;4709641;6309659	12443371;4709641;6309659;15669393;37205759
418	[16660256]	16494316	16494316;17188921;2714623	16494316;17188921;2714623;19752008;12785130
420	[9315213]	9315213	9315213;7150238;4583180	9315213;7150238;4583180;970012;1840993
422	[11172205]	21598000	21598000;15327601;15983148	21598000;15327601;15983148;28086354;4422734
423	[8595678]	42441846	42441846;37424881;18557974	42441846;37424881;18557974;19278208;8595678
425	[33257464]	33257464	33257464;20645335;27129115	33257464;20645335;27129115;13791044;1606628
426	[16728949]	28937856	28937856;16728949;83707680	28937856;16728949;83707680;29429111;4418070
428	[16728949]	4418070	4418070;83707680;28937856	4418070;83707680;28937856;14496749;16728949
429	[36540079]	36540079	36540079;22191759;3468459	36540079;22191759;3468459;14464451;25353658
430	[28937856]	2543135	2543135;19922508;23887844	2543135;19922508;23887844;29073751;6000423
432	[8002887]	8002887	8002887;31882215;3504761	8002887;31882215;3504761;33507866;6227220
434	[9500590]	41877386	41877386;4418070;13398997	41877386;4418070;13398997;10359591;18546584
435	[9500590]	10359591	10359591;41877386;4418070	10359591;41877386;4418070;15635366;18546584
441	[2014909]	2014909	2014909;25726838;2030623	2014909;25726838;2030623;5836;24612804
444	[10165258]	7583161	7583161;10526279;9911547	7583161;10526279;9911547;10165258;40234452
445	[10165258]	7583161	7583161;10526279;9911547	7583161;10526279;9911547;16361581;40234452
447	[2052720]	22703082	22703082;24705390;2052720	22703082;24705390;2052720;26488879;39550665
448	[2052720]	22703082	22703082;2052720;24705390	22703082;2052720;24705390;26488879;39550665
449	[12209494, 3430789]	33203108	33203108;8447873;22547508	33203108;8447873;22547508;19132741;41294031
453	[4200695]	4200695	4200695;38493521;44586415	4200695;38493521;44586415;42950029;11933721
454	[4200695]	4200695	4200695;53779698;2028532	4200695;53779698;2028532;4164929;17691617
455	[12643937]	7860396	7860396;10423989;13384318	7860396;10423989;13384318;4162857;20585600
456	[30507607]	30507607	30507607;6826100;42565477	30507607;6826100;42565477;8290760;26596106
458	[597790]	597790	597790;52865789;6227220	597790;52865789;6227220;10463997;14116046
461	[40096222]	40096222	40096222;15578265;52805891	40096222;15578265;52805891;12658073;2565138
463	[19736671]	1389264	1389264;13030852;4325398	1389264;13030852;4325398;25504006;14717213
466	[22544171]	22544171	22544171;34747208;15692098	22544171;34747208;15692098;14178995;834336
469	[1410197]	15889329	15889329;17150648;14924526	15889329;17150648;14924526;37592824;44572913
470	[12685434]	12685434	12685434;13235609;22901758	12685434;13235609;22901758;7028976;13244602
472	[7185591, 26330861, 4414481]	1754001	1754001;6106004;7185591	1754001;6106004;7185591;4463811;19460822
473	[4373433]	7177329	7177329;2601135;10562341	7177329;2601135;10562341;6123521;1148122
474	[4373433]	37182501	37182501;42377686;7177329	37182501;42377686;7177329;34254203;11359243
479	[6325527]	6325527	6325527;3761017;23627419	6325527;3761017;23627419;37065914;18256197
480	[6325527]	6325527	6325527;3761017;23627419	6325527;3761017;23627419;37065914;18256197
481	[14706752]	14706752	14706752;368506;14119470	14706752;368506;14119470;8093935;5914739
482	[10991183]	10991183	10991183;8093935;24881307	10991183;8093935;24881307;10530014;32532238
483	[22703082]	22703082	22703082;24705390;34258065	22703082;24705390;34258065;29367554;4422723
484	[14637235]	12588500	12588500;19485243;7137057	12588500;19485243;7137057;502591;29877890
485	[14637235]	30041340	30041340;502591;22522432	30041340;502591;22522432;25606339;29788648
486	[14637235]	12588500	12588500;19485243;7137057	12588500;19485243;7137057;29877890;175735
487	[14637235]	25606339	25606339;30041340;22522432	25606339;30041340;22522432;29788648;4138659
488	[1780819]	1780819	1780819;11359243;6121668	1780819;11359243;6121668;2494748;4283694
489	[6625693]	5473074	5473074;1320137;22561064	5473074;1320137;22561064;24706198;4701662
490	[56893404]	56893404	56893404;24269361;15678772	56893404;24269361;15678772;24521894;8529693
492	[19583924]	92499	92499;19583924;9911547	92499;19583924;9911547;18374364;17271462
493	[19583924]	515489	515489;6718824;25830701	515489;6718824;25830701;19583924;22973574
494	[34873974]	13223957	13223957;34054472;34873974	13223957;34054472;34873974;17897801;13350374
495	[17077004]	5548081	5548081;22227889;17077004	5548081;22227889;17077004;5835149;21216726
498	[17077004]	5548081	5548081;22227889;34139429	5548081;22227889;34139429;17077004;5835149
499	[26064662]	26064662	26064662;12662435;23206239	26064662;12662435;23206239;30983338;1538080
500	[17930286]	17930286	17930286;6191684;21274919	17930286;6191684;21274919;24285403;7239105
504	[10883736]	10883736	10883736;38401028;53211308	10883736;38401028;53211308;11868606;21053753
505	[22703082]	22703082	22703082;2638387;24705390	22703082;2638387;24705390;7465900;34436231
506	[7433668]	14853989	14853989;40323148;45401535	14853989;40323148;45401535;21439293;23117928
509	[13980338]	104143831	104143831;14550841;18374364	104143831;14550841;18374364;4816339;34982259
515	[29564505]	29564505	29564505;20109325;18988265	29564505;20109325;18988265;2032877;3580005
523	[14803797]	6793674	6793674;33684572;14803797	6793674;33684572;14803797;13714201;25822299
524	[14803797]	6793674	6793674;33684572;14803797	6793674;33684572;14803797;54490092;46277811
526	[3863543]	1617327	1617327;3863543;4421742	1617327;3863543;4421742;4653837;8724666
529	[10546779, 25413327, 36651210]	3360421	3360421;11335860;26374799	3360421;11335860;26374799;36651210;25413327
530	[10546779, 25413327, 36651210, 87610599]	3360421	3360421;11335860;25413327	3360421;11335860;25413327;36651210;26374799
531	[10546779, 25413327, 36651210]	3360421	3360421;25413327;36651210	3360421;25413327;36651210;11335860;26374799
537	[16056514]	16056514	16056514;21046889;4447055	16056514;21046889;4447055;9288638;36637129
541	[45154987, 11886686, 25007443]	17150648	17150648;14782049;2225918	17150648;14782049;2225918;2481032;4700428
542	[19688024]	19688024	19688024;41337677;7968532	19688024;41337677;7968532;1049501;40044800
545	[24221369]	6820680	6820680;5137019;44366096	6820680;5137019;44366096;1970884;11784947
547	[10648422]	10648422	10648422;37762357;8639034	10648422;37762357;8639034;26068103;15425958
548	[18199839]	6070278	6070278;24998637;33118292	6070278;24998637;33118292;11630388;164985
